LOS,Freq
735,244
736,215
737,222
738,248
739,222
740,266
741,254
742,271
743,218
744,242
745,234
746,232
747,254
748,204
749,248
750,245
751,235
752,235
753,228
754,216
755,274
756,245
757,242
758,211
759,236
760,229
761,249
762,246
763,245
764,241
765,211
766,229
767,226
768,208
769,214
770,225
771,238
772,207
773,197
774,192
775,235
776,221
777,233
778,203
779,219
780,212
781,223
782,204
783,225
784,207
785,211
786,210
787,221
788,222
789,221
790,221
791,229
792,210
793,214
794,210
795,212
796,189
797,190
798,203
799,222
800,198
801,202
802,211
803,171
804,191
805,240
806,210
807,206
808,189
809,199
810,211
811,205
812,218
813,195
814,220
815,195
816,214
817,193
818,214
819,212
820,197
821,208
822,205
823,173
824,187
825,181
826,200
827,156
828,211
829,197
830,213
831,185
832,214
833,215
834,167
835,186
836,182
837,173
838,182
839,170
840,191
841,196
842,196
843,176
844,207
845,205
846,213
847,178
848,204
849,183
850,202
851,154
852,178
853,188
854,218
855,207
856,187
857,179
858,178
859,183
860,163
861,201
862,202
863,194
864,181
865,192
866,186
867,180
868,189
869,161
870,188
871,199
872,164
873,181
874,193
875,209
876,184
877,192
878,169
879,170
880,167
881,183
882,209
883,195
884,175
885,178
886,192
887,184
888,175
889,190
890,193
891,180
892,170
893,153
894,190
895,183
896,154
897,156
898,195
899,186
900,154
901,142
902,165
903,152
904,188
905,187
906,154
907,147
908,166
909,163
910,161
911,180
912,156
913,160
914,168
915,189
916,171
917,160
918,202
919,170
920,184
921,172
922,183
923,145
924,162
925,183
926,165
927,159
928,167
929,136
930,182
931,159
932,174
933,175
934,183
935,155
936,170
937,177
938,174
939,174
940,159
941,152
942,155
943,163
944,151
945,168
946,166
947,154
948,178
949,151
950,144
951,167
952,148
953,168
954,178
955,178
956,122
957,159
958,163
959,173
960,145
961,146
962,143
963,177
964,186
965,163
966,185
967,171
968,182
969,138
970,155
971,154
972,148
973,167
974,167
975,139
976,141
977,140
978,156
979,165
980,164
981,139
982,167
983,144
984,182
985,147
986,141
987,161
988,162
989,137
990,155
991,158
992,137
993,152
994,154
995,149
996,143
997,132
998,162
999,178
1000,148
1001,168
1002,169
1003,146
1004,143
1005,151
1006,135
1007,119
1008,162
1009,137
1010,139
1011,149
1012,130
1013,131
1014,144
